"Search Terms","collection:(CHRG) AND publishdate:range(2023-01-04,) "
"Total Count","15"
"index","collection","packageId","granuleId","title","detailsLink","pdfLink","htmlLink","xmlLink","otherLink1","otherLink2","teaser","historical","publishdate"
"1","Congressional Hearings","CHRG-118hhrg53646","CHRG-118hhrg53646","Lasers and Water Cannons: Exposing The. Chinese Communist Party's Harassment in The. South China Sea","https://www.govinfo.gov/app/details/CHRG-118hhrg53646/CHRG-118hhrg53646","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53646/pdf/CHRG-118hhrg53646.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53646/html/CHRG-118hhrg53646.htm","","",""," COMMITTEE ON FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION September 28, 2023 Serial No. 118-52 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT ...","","2023-09-28"
"2","Congressional Hearings","CHRG-118hhrg53237","CHRG-118hhrg53237","Stability and Security in the Western. Balkans: Assessing U.S. Policy","https://www.govinfo.gov/app/details/CHRG-118hhrg53237/CHRG-118hhrg53237","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53237/pdf/CHRG-118hhrg53237.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53237/html/CHRG-118hhrg53237.htm","","",""," OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION JULY 18, 2023 Serial No. 118-38 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 53-237 WASHINGTON : ...","","2023-07-18"
"3","Congressional Hearings","CHRG-118hhrg53228","CHRG-118hhrg53228","The Vilnius Summit and War in Ukraine: Assessing U.S. Policy Towards Europe and NATO","https://www.govinfo.gov/app/details/CHRG-118hhrg53228/CHRG-118hhrg53228","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53228/pdf/CHRG-118hhrg53228.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53228/html/CHRG-118hhrg53228.htm","","",""," AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION June 22, 2023 Serial No. 118-37 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 53-...","","2023-06-22"
"4","Congressional Hearings","CHRG-118hhrg52788","CHRG-118hhrg52788","Markup of Various Measures","https://www.govinfo.gov/app/details/CHRG-118hhrg52788/CHRG-118hhrg52788","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52788/pdf/CHRG-118hhrg52788.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52788/html/CHRG-118hhrg52788.htm","","","",", 2023 Serial No. 118-34 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 52-788PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN AFFAIRS MICHAEL T. MCCAUL, Texas, Chairman ...","","2023-06-21"
"5","Congressional Hearings","CHRG-118hhrg53783","CHRG-118hhrg53783","Examining the Fiscal Year 24 Bureau of Consular Affairs Budget","https://www.govinfo.gov/app/details/CHRG-118hhrg53783/CHRG-118hhrg53783","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53783/pdf/CHRG-118hhrg53783.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53783/html/CHRG-118hhrg53783.htm","","",""," AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION June 7, 2023 Serial No. 118-47 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http://docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 53-...","","2023-06-07"
"6","Congressional Hearings","CHRG-118hhrg53078","CHRG-118hhrg53078","Examining the Fiscal Year 2024 State and Foreign Operations Budget Request for Europe","https://www.govinfo.gov/app/details/CHRG-118hhrg53078/CHRG-118hhrg53078","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53078/pdf/CHRG-118hhrg53078.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53078/html/CHRG-118hhrg53078.htm","","",""," AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION MAY 23, 2023 Serial No. 118-29 Printed for the use of the Committee on Foreign Affairs [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov ______ U.S. GOVERNMENT PUBLISHING ...","","2023-05-23"
"7","Congressional Hearings","CHRG-118hhrg52398","CHRG-118hhrg52398","Markup of Various Measures","https://www.govinfo.gov/app/details/CHRG-118hhrg52398/CHRG-118hhrg52398","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52398/pdf/CHRG-118hhrg52398.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52398/html/CHRG-118hhrg52398.htm","","",""," 16, 2023 Serial No. 118-26 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 52-398PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN AFFAIRS MICHAEL T. MCCAUL, Texas, Chairman ...","","2023-05-16"
"8","Congressional Hearings","CHRG-118hhrg52144","CHRG-118hhrg52144","Exposing Putin's Crimes: Evidence of Russian War Crimes and Other Atrocities in Ukraine","https://www.govinfo.gov/app/details/CHRG-118hhrg52144/CHRG-118hhrg52144","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52144/pdf/CHRG-118hhrg52144.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52144/html/CHRG-118hhrg52144.htm","","",""," ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION APRIL 19, 2023 Serial No. 118-20 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 52-144 WASHINGTON : 2023 ...","","2023-04-19"
"9","Congressional Hearings","CHRG-118hhrg52142","CHRG-118hhrg52142","Surrounding the Ocean: PRC Influence in the Indian Ocean","https://www.govinfo.gov/app/details/CHRG-118hhrg52142/CHRG-118hhrg52142","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52142/pdf/CHRG-118hhrg52142.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52142/html/CHRG-118hhrg52142.htm","","",""," CONGRESS FIRST SESSION APRIL 18, 2023 Serial No. 118-14 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 52-142PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN AFFAIRS ...","","2023-04-18"
"10","Congressional Hearings","CHRG-118hhrg52143","CHRG-118hhrg52143","Great Power Competition in Africa: The Chinese Communist Party","https://www.govinfo.gov/app/details/CHRG-118hhrg52143/CHRG-118hhrg52143","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52143/pdf/CHRG-118hhrg52143.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52143/html/CHRG-118hhrg52143.htm","","",""," REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION APRIL 18, 2023 Serial No. 118-19 Printed for the use of the Committee on Foreign Affairs [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http://docs.house.gov, ______ U.S. GOVERNMENT PUBLISHING OFFICE 52-143PDF WASHINGTON : 2023 or http://...","","2023-04-18"
"11","Congressional Hearings","CHRG-118hhrg52399","CHRG-118hhrg52399","Oversight, Transparency, and Accountability of Ukraine Assistance","https://www.govinfo.gov/app/details/CHRG-118hhrg52399/CHRG-118hhrg52399","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52399/pdf/CHRG-118hhrg52399.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52399/html/CHRG-118hhrg52399.htm","","",""," EIGHTEENTH CONGRESS FIRST SESSION March 29, 2023 Serial No. 118-11 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 52-399 PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN ...","","2023-03-29"
"12","Congressional Hearings","CHRG-118hhrg51597","CHRG-118hhrg51597","Full Committee Markup","https://www.govinfo.gov/app/details/CHRG-118hhrg51597/CHRG-118hhrg51597","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51597/pdf/CHRG-118hhrg51597.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51597/html/CHRG-118hhrg51597.htm","","",""," 2023 Serial No. 118-10 Printed for the use of the Committee on Foreign Affairs [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov _________ U.S. GOVERNMENT PUBLISHING OFFICE 51-597 PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN AFFAIRS MICHAEL T. MCCAUL, Texas, ...","","2023-03-28"
"13","Congressional Hearings","CHRG-118hhrg52241","CHRG-118hhrg52241","The State of American Diplomacy in 2023: Growing Conflicts, Budget Challenges, and Great Power Competition","https://www.govinfo.gov/app/details/CHRG-118hhrg52241/CHRG-118hhrg52241","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52241/pdf/CHRG-118hhrg52241.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52241/html/CHRG-118hhrg52241.htm","","",""," HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION March 23, 2023 Serial No. 118-6 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 52-241 PDF ...","","2023-03-23"
"14","Congressional Hearings","CHRG-118hhrg51383","CHRG-118hhrg51383","Expanding the Abraham Accords","https://www.govinfo.gov/app/details/CHRG-118hhrg51383/CHRG-118hhrg51383","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51383/pdf/CHRG-118hhrg51383.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51383/html/CHRG-118hhrg51383.htm","","",""," REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION MARCH 9, 2023 Serial No. 118-4 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 51-383 PDF WASHINGTON : ...","","2023-03-09"
"15","Congressional Hearings","CHRG-118hhrg51256","CHRG-118hhrg51256","Combating the Generational Challenge of CCP Aggression","https://www.govinfo.gov/app/details/CHRG-118hhrg51256/CHRG-118hhrg51256","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51256/pdf/CHRG-118hhrg51256.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51256/html/CHRG-118hhrg51256.htm","","",""," CONGRESS FIRST SESSION FEBRUARY 28, 2023 Serial No. 118-2 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 51-256PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN AFFAIRS ...","","2023-02-28"
